state,phi_intergranular,phi_ic,phi_total,delta_lambda_percent
dry,0.14647059,0.00016807,0.14663866,-0.86420030
dry,0.14831933,0.00016807,0.14848739,-0.86234474
dry,0.15016807,0.00016807,0.15033613,-0.86049692
dry,0.15201681,0.00016807,0.15218487,-0.85865677
dry,0.15386555,0.00016807,0.15403361,-0.85682425
dry,0.15571429,0.00016807,0.15588235,-0.85499931
dry,0.15756303,0.00016807,0.15773109,-0.85318190
dry,0.15941176,0.00016807,0.15957983,-0.85137197
dry,0.16126050,0.00016807,0.16142857,-0.84956948
dry,0.16310924,0.00016807,0.16327731,-0.84777438
dry,0.16495798,0.00016807,0.16512605,-0.84598662
dry,0.16680672,0.00016807,0.16697479,-0.84420615
dry,0.16865546,0.00016807,0.16882353,-0.84243294
dry,0.17050420,0.00016807,0.17067227,-0.84066692
dry,0.17235294,0.00016807,0.17252101,-0.83890807
dry,0.17420168,0.00016807,0.17436975,-0.83715632
dry,0.17605042,0.00016807,0.17621849,-0.83541165
dry,0.17789916,0.00016807,0.17806723,-0.83367400
dry,0.17974790,0.00016807,0.17991597,-0.83194333
dry,0.18159664,0.00016807,0.18176471,-0.83021960
dry,0.18344538,0.00016807,0.18361345,-0.82850276
dry,0.18529412,0.00016807,0.18546218,-0.82679277
dry,0.18714286,0.00016807,0.18731092,-0.82508959
dry,0.18899160,0.00016807,0.18915966,-0.82339318
dry,0.19084034,0.00016807,0.19100840,-0.82170349
dry,0.19268908,0.00016807,0.19285714,-0.82002049
dry,0.19453782,0.00016807,0.19470588,-0.81834412
dry,0.19638655,0.00016807,0.19655462,-0.81667436
dry,0.19823529,0.00016807,0.19840336,-0.81501116
dry,0.20008403,0.00016807,0.20025210,-0.81335448
dry,0.20193277,0.00016807,0.20210084,-0.81170428
dry,0.20378151,0.00016807,0.20394958,-0.81006052
dry,0.20563025,0.00016807,0.20579832,-0.80842316
dry,0.20747899,0.00016807,0.20764706,-0.80679217
dry,0.20932773,0.00016807,0.20949580,-0.80516750
dry,0.21117647,0.00016807,0.21134454,-0.80354911
dry,0.21302521,0.00016807,0.21319328,-0.80193697
dry,0.21487395,0.00016807,0.21504202,-0.80033105
dry,0.21672269,0.00016807,0.21689076,-0.79873129
dry,0.21857143,0.00016807,0.21873950,-0.79713767
dry,0.22042017,0.00016807,0.22058824,-0.79555015
dry,0.22226891,0.00016807,0.22243697,-0.79396869
dry,0.22411765,0.00016807,0.22428571,-0.79239326
dry,0.22596639,0.00016807,0.22613445,-0.79082381
dry,0.22781513,0.00016807,0.22798319,-0.78926032
dry,0.22966387,0.00016807,0.22983193,-0.78770274
dry,0.23151261,0.00016807,0.23168067,-0.78615105
dry,0.23336134,0.00016807,0.23352941,-0.78460521
dry,0.23521008,0.00016807,0.23537815,-0.78306518
dry,0.23705882,0.00016807,0.23722689,-0.78153092
dry,0.23890756,0.00016807,0.23907563,-0.78000241
dry,0.24075630,0.00016807,0.24092437,-0.77847961
dry,0.24260504,0.00016807,0.24277311,-0.77696249
dry,0.24445378,0.00016807,0.24462185,-0.77545101
dry,0.24630252,0.00016807,0.24647059,-0.77394514
dry,0.24815126,0.00016807,0.24831933,-0.77244484
dry,0.25000000,0.00016807,0.25016807,-0.77095009
dry,0.03000000,0.00025210,0.03025210,-1.49112575
dry,0.03184874,0.00025210,0.03210084,-1.48746712
dry,0.03369748,0.00025210,0.03394958,-1.48382609
dry,0.03554622,0.00025210,0.03579832,-1.48020255
dry,0.03739496,0.00025210,0.03764706,-1.47659635
dry,0.03924370,0.00025210,0.03949580,-1.47300738
dry,0.04109244,0.00025210,0.04134454,-1.46943551
dry,0.04294118,0.00025210,0.04319328,-1.46588062
dry,0.04478992,0.00025210,0.04504202,-1.46234257
dry,0.04663866,0.00025210,0.04689076,-1.45882127
dry,0.04848739,0.00025210,0.04873950,-1.45531657
dry,0.05033613,0.00025210,0.05058824,-1.45182836
dry,0.05218487,0.00025210,0.05243697,-1.44835654
dry,0.05403361,0.00025210,0.05428571,-1.44490097
dry,0.05588235,0.00025210,0.05613445,-1.44146154
dry,0.05773109,0.00025210,0.05798319,-1.43803814
dry,0.05957983,0.00025210,0.05983193,-1.43463066
dry,0.06142857,0.00025210,0.06168067,-1.43123897
dry,0.06327731,0.00025210,0.06352941,-1.42786298
dry,0.06512605,0.00025210,0.06537815,-1.42450257
dry,0.06697479,0.00025210,0.06722689,-1.42115763
dry,0.06882353,0.00025210,0.06907563,-1.41782805
dry,0.07067227,0.00025210,0.07092437,-1.41451373
dry,0.07252101,0.00025210,0.07277311,-1.41121456
dry,0.07436975,0.00025210,0.07462185,-1.40793043
dry,0.07621849,0.00025210,0.07647059,-1.40466123
dry,0.07806723,0.00025210,0.07831933,-1.40140688
dry,0.07991597,0.00025210,0.08016807,-1.39816725
dry,0.08176471,0.00025210,0.08201681,-1.39494226
dry,0.08361345,0.00025210,0.08386555,-1.39173180
dry,0.08546218,0.00025210,0.08571429,-1.38853577
dry,0.08731092,0.00025210,0.08756303,-1.38535407
dry,0.08915966,0.00025210,0.08941176,-1.38218660
dry,0.09100840,0.00025210,0.09126050,-1.37903327
dry,0.09285714,0.00025210,0.09310924,-1.37589398
dry,0.09470588,0.00025210,0.09495798,-1.37276863
dry,0.09655462,0.00025210,0.09680672,-1.36965714
dry,0.09840336,0.00025210,0.09865546,-1.36655940
dry,0.10025210,0.00025210,0.10050420,-1.36347532
dry,0.10210084,0.00025210,0.10235294,-1.36040482
dry,0.10394958,0.00025210,0.10420168,-1.35734779
dry,0.10579832,0.00025210,0.10605042,-1.35430416
dry,0.10764706,0.00025210,0.10789916,-1.35127382
dry,0.10949580,0.00025210,0.10974790,-1.34825670
dry,0.11134454,0.00025210,0.11159664,-1.34525270
dry,0.11319328,0.00025210,0.11344538,-1.34226173
dry,0.11504202,0.00025210,0.11529412,-1.33928372
dry,0.11689076,0.00025210,0.11714286,-1.33631856
dry,0.11873950,0.00025210,0.11899160,-1.33336618
dry,0.12058824,0.00025210,0.12084034,-1.33042650
dry,0.12243697,0.00025210,0.12268908,-1.32749943
dry,0.12428571,0.00025210,0.12453782,-1.32458488
dry,0.12613445,0.00025210,0.12638655,-1.32168278
dry,0.12798319,0.00025210,0.12823529,-1.31879304
dry,0.12983193,0.00025210,0.13008403,-1.31591558
dry,0.13168067,0.00025210,0.13193277,-1.31305033
dry,0.13352941,0.00025210,0.13378151,-1.31019720
dry,0.13537815,0.00025210,0.13563025,-1.30735611
dry,0.13722689,0.00025210,0.13747899,-1.30452698
dry,0.13907563,0.00025210,0.13932773,-1.30170975
dry,0.14092437,0.00025210,0.14117647,-1.29890433
dry,0.14277311,0.00025210,0.14302521,-1.29611064
dry,0.14462185,0.00025210,0.14487395,-1.29332861
dry,0.14647059,0.00025210,0.14672269,-1.29055816
dry,0.14831933,0.00025210,0.14857143,-1.28779923
dry,0.15016807,0.00025210,0.15042017,-1.28505173
dry,0.15201681,0.00025210,0.15226891,-1.28231560
dry,0.15386555,0.00025210,0.15411765,-1.27959075
dry,0.15571429,0.00025210,0.15596639,-1.27687713
dry,0.15756303,0.00025210,0.15781513,-1.27417465
dry,0.15941176,0.00025210,0.15966387,-1.27148325
dry,0.16126050,0.00025210,0.16151261,-1.26880286
dry,0.16310924,0.00025210,0.16336134,-1.26613340
dry,0.16495798,0.00025210,0.16521008,-1.26347482
dry,0.16680672,0.00025210,0.16705882,-1.26082703
dry,0.16865546,0.00025210,0.16890756,-1.25818998
dry,0.17050420,0.00025210,0.17075630,-1.25556359
dry,0.17235294,0.00025210,0.17260504,-1.25294779
dry,0.17420168,0.00025210,0.17445378,-1.25034253
dry,0.17605042,0.00025210,0.17630252,-1.24774774
dry,0.17789916,0.00025210,0.17815126,-1.24516335
dry,0.17974790,0.00025210,0.18000000,-1.24258929
dry,0.18159664,0.00025210,0.18184874,-1.24002550
dry,0.18344538,0.00025210,0.18369748,-1.23747193
dry,0.18529412,0.00025210,0.18554622,-1.23492850
dry,0.18714286,0.00025210,0.18739496,-1.23239515
dry,0.18899160,0.00025210,0.18924370,-1.22987182
dry,0.19084034,0.00025210,0.19109244,-1.22735845
dry,0.19268908,0.00025210,0.19294118,-1.22485498
dry,0.19453782,0.00025210,0.19478992,-1.22236134
dry,0.19638655,0.00025210,0.19663866,-1.21987748
dry,0.19823529,0.00025210,0.19848739,-1.21740334
dry,0.20008403,0.00025210,0.20033613,-1.21493885
dry,0.20193277,0.00025210,0.20218487,-1.21248397
dry,0.20378151,0.00025210,0.20403361,-1.21003862
dry,0.20563025,0.00025210,0.20588235,-1.20760276
dry,0.20747899,0.00025210,0.20773109,-1.20517632
dry,0.20932773,0.00025210,0.20957983,-1.20275925
