state,phi_total,phi_mc_abs,phi_pore,lambda_basic,lambda_dual,delta_lambda_abs,delta_lambda_pct,alpha_basic,alpha_pore,alpha_mc
oil,0.01,0.0025,0.0075,4.924868653005357,4.254034052397372,-0.6708346006079857,-13.621370393271603,0.5,0.5,0.0001
oil,0.0129,0.0025,0.0104,4.903234404092288,4.236275437661107,-0.6669589664311806,-13.602428753447521,0.5,0.5,0.0001
oil,0.0158,0.0025,0.013300000000000001,4.881668727086676,4.218565429445635,-0.6631032976410403,-13.583537407233546,0.5,0.5,0.0001
oil,0.0187,0.0025,0.016200000000000003,4.860171296486138,4.200903828464719,-0.6592674680214188,-13.564696135258925,0.5,0.5,0.0001
oil,0.0216,0.0025,0.019100000000000002,4.838741788845196,4.183290436520063,-0.6554513523251329,-13.545904719201012,0.5,0.5,0.0001
oil,0.0245,0.0025,0.022000000000000002,4.817379882759054,4.165725056493902,-0.651654826265152,-13.52716294177594,0.5,0.5,0.0001
oil,0.0274,0.0025,0.024900000000000002,4.7960852588475325,4.148207492341644,-0.6478777665058884,-13.508470586729501,0.5,0.5,0.0001
oil,0.0303,0.0025,0.027800000000000002,4.77485759973915,4.130737549084577,-0.644120050654573,-13.48982743882794,0.5,0.5,0.0001
oil,0.0332,0.0025,0.0307,4.753696590055351,4.113315032802637,-0.6403815572527138,-13.47123328384863,0.5,0.5,0.0001
oil,0.0361,0.0025,0.0336,4.732601916394898,4.095939750627233,-0.6366621657676648,-13.452687908571189,0.5,0.5,0.0001
oil,0.039,0.0025,0.0365,4.711573267318388,4.078611510734125,-0.6329617565842636,-13.434191100768267,0.5,0.5,0.0001
oil,0.0419,0.0025,0.0394,4.6906103333329385,4.061330122336371,-0.6292802109965674,-13.415742649196547,0.5,0.5,0.0001
oil,0.0448,0.0025,0.0423,4.669712806876987,4.044095395677324,-0.6256174111996629,-13.397342343587583,0.5,0.5,0.0001
oil,0.0477,0.0025,0.0452,4.648880382305264,4.026907142023681,-0.6219732402815827,-13.37898997463905,0.5,0.5,0.0001
oil,0.0506,0.0025,0.0481,4.628112755873888,4.009765173658601,-0.6183475822152866,-13.360685334005636,0.5,0.5,0.0001
oil,0.0535,0.0025,0.051,4.607409625725597,3.992669303874867,-0.6147403218507304,-13.342428214290107,0.5,0.5,0.0001
oil,0.0564,0.0025,0.053899999999999997,4.586770691875133,3.9756193469681076,-0.6111513449070252,-13.324218409034492,0.5,0.5,0.0001
oil,0.0593,0.0025,0.056799999999999996,4.5661956561947425,3.9586151182300737,-0.6075805379646688,-13.306055712711148,0.5,0.5,0.0001
oil,0.0622,0.0025,0.059699999999999996,4.545684222399829,3.9416564339419695,-0.6040277884578593,-13.287939920713884,0.5,0.5,0.0001
oil,0.06509999999999999,0.0025,0.06259999999999999,4.52523609603473,3.924743111367834,-0.600492984666896,-13.269870829349264,0.5,0.5,0.0001
