phi_total,phi_mc_abs,delta_lambda_pct
0.0274,0.005174999999999999,-24.38652018935677
0.0274,0.00524375,-24.63028086841565
0.0274,0.0053124999999999995,-24.872464083885543
0.0274,0.005381249999999999,-25.113085098886692
0.0274,0.00545,-25.352158980263184
0.0274,0.005518749999999999,-25.589700601727788
0.0274,0.005587499999999999,-25.825724646946647
0.0274,0.00565625,-26.060245612564984
0.0274,0.005724999999999999,-26.293277811175173
0.0274,0.0057937499999999986,-26.524835374228427
0.0274,0.0058625,-26.75493225489145
0.0274,0.005931249999999999,-26.98358223084927
0.0274,0.006,-27.210798907055114
0.0303,0.0005,-3.021548787953954
0.0303,0.00056875,-3.422716656695256
0.0303,0.0006375,-3.8205613027258942
0.0303,0.00070625,-4.215123849435793
0.0303,0.000775,-4.606444744490788
0.0303,0.00084375,-4.994563773654914
0.0303,0.0009124999999999999,-5.37952007427479
0.0303,0.00098125,-5.761352148435683
0.0303,0.00105,-6.140097875798446
0.0303,0.00111875,-6.515794526126682
0.0303,0.0011875,-6.888478771512351
0.0303,0.00125625,-7.258186698308392
0.0303,0.0013249999999999998,-7.624953818776996
0.0303,0.00139375,-7.988815082460583
0.0303,0.0014624999999999998,-8.349804887283733
0.0303,0.0015312499999999998,-8.707957090393394
0.0303,0.0015999999999999999,-9.063305018744437
0.0303,0.0016687499999999999,-9.415881479437354
0.0303,0.0017375,-9.765718769815143
0.0303,0.00180625,-10.112848687325986
0.0303,0.001875,-10.457302539157316
0.0303,0.0019437499999999997,-10.799111151648516
0.0303,0.0020124999999999995,-11.138304879487084
0.0303,0.0020812499999999998,-11.474913614694952
0.0303,0.00215,-11.808966795409749
0.0303,0.00221875,-12.140493414467265
0.0303,0.0022874999999999996,-12.469522027789436
0.0303,0.00235625,-12.796080762583813
0.0303,0.0024249999999999996,-13.120197325358852
0.0303,0.00249375,-13.441899009760151
0.0303,0.0025624999999999997,-13.761212704232074
0.0303,0.00263125,-14.078164899509622
0.0303,0.0026999999999999997,-14.39278169594428
0.0303,0.0027687499999999995,-14.705088810669093
0.0303,0.0028374999999999997,-15.01511158460593
0.0303,0.0029062499999999995,-15.322874989320006
0.0303,0.0029749999999999998,-15.62840363372475
0.0303,0.0030437499999999996,-15.931721770641428
0.0303,0.0031125,-16.232853303216654
0.0303,0.0031812499999999996,-16.531821791201814
0.0303,0.00325,-16.828650457097527
0.0303,0.0033187499999999997,-17.12336219216662
0.0303,0.0033874999999999995,-17.41597956231907
0.0303,0.0034562499999999997,-17.706524813871823
0.0303,0.0035249999999999995,-17.99501987918656
0.0303,0.0035937499999999997,-18.281486382188817
0.0303,0.0036624999999999995,-18.565945643770828
0.0303,0.0037312499999999998,-18.848418687081406
0.0303,0.0037999999999999996,-19.128926242705155
0.0303,0.0038687499999999994,-19.40748875373423
0.0303,0.0039375,-19.68412638073471
0.0303,0.004006249999999999,-19.958859006610496
0.0303,0.004075,-20.231706241367117
0.0303,0.00414375,-20.502687426777616
0.0303,0.004212499999999999,-20.771821640953227
0.0303,0.0042812499999999995,-21.03912770282086
0.0303,0.00435,-21.30462417650941
0.0303,0.004418749999999999,-21.568329375647757
0.0303,0.0044875,-21.83026136757563
0.0303,0.0045562499999999995,-22.09043797747003
0.0303,0.004624999999999999,-22.3488767923889
0.0303,0.00469375,-22.605595165234114
0.0303,0.004762499999999999,-22.860610218635415
0.0303,0.004831249999999999,-23.113938848757503
0.0303,0.0049,-23.365597729031727
0.0303,0.004968749999999999,-23.615603313814248
0.0303,0.005037499999999999,-23.86397184197228
