state,phi_total,alpha_pore,phi_mc_abs,delta_lambda_pct
dry,0.18,0.05,0.0029749999999999998,-31.45355835080616
dry,0.18,0.05,0.0030437499999999996,-31.561665778949962
dry,0.18,0.05,0.0031125,-31.66942850199207
dry,0.18,0.05,0.0031812499999999996,-31.77684816596848
dry,0.18,0.05,0.00325,-31.883926406451547
dry,0.18,0.05,0.0033187499999999997,-31.990664848633163
dry,0.18,0.05,0.0033874999999999995,-32.09706510740686
dry,0.18,0.05,0.0034562499999999997,-32.2031287874493
dry,0.18,0.05,0.0035249999999999995,-32.30885748330097
dry,0.18,0.05,0.0035937499999999997,-32.41425277944606
dry,0.18,0.05,0.0036624999999999995,-32.51931625039161
dry,0.18,0.05,0.0037312499999999998,-32.62404946074594
dry,0.18,0.05,0.0037999999999999996,-32.72845396529627
dry,0.18,0.05,0.0038687499999999994,-32.83253130908575
dry,0.18,0.05,0.0039375,-32.93628302748956
dry,0.18,0.05,0.004006249999999999,-33.03971064629053
dry,0.18,0.05,0.004075,-33.14281568175381
dry,0.18,0.05,0.00414375,-33.2455996407011
dry,0.18,0.05,0.004212499999999999,-33.34806402058392
dry,0.18,0.05,0.0042812499999999995,-33.45021030955647
dry,0.18,0.05,0.00435,-33.55203998654752
dry,0.18,0.05,0.004418749999999999,-33.65355452133194
dry,0.18,0.05,0.0044875,-33.75475537460132
dry,0.18,0.05,0.0045562499999999995,-33.855643998034054
dry,0.18,0.05,0.004624999999999999,-33.95622183436475
dry,0.18,0.05,0.00469375,-34.05649031745302
dry,0.18,0.05,0.004762499999999999,-34.15645087235159
dry,0.18,0.05,0.004831249999999999,-34.25610491537383
dry,0.18,0.05,0.0049,-34.35545385416067
dry,0.18,0.05,0.004968749999999999,-34.454499087746804
dry,0.18,0.05,0.005037499999999999,-34.553242006626434
dry,0.18,0.05,0.00510625,-34.651683992818334
dry,0.18,0.05,0.005174999999999999,-34.74982641993028
dry,0.18,0.05,0.00524375,-34.84767065322297
dry,0.18,0.05,0.0053124999999999995,-34.94521804967333
dry,0.18,0.05,0.005381249999999999,-35.04246995803728
dry,0.18,0.05,0.00545,-35.1394277189118
dry,0.18,0.05,0.005518749999999999,-35.236092664796665
dry,0.18,0.05,0.005587499999999999,-35.33246612015535
dry,0.18,0.05,0.00565625,-35.42854940147565
dry,0.18,0.05,0.005724999999999999,-35.5243438173295
dry,0.18,0.05,0.0057937499999999986,-35.619850668432505
dry,0.18,0.05,0.0058625,-35.715071247702696
dry,0.18,0.05,0.005931249999999999,-35.81000684031897
dry,0.18,0.05,0.006,-35.904658723778844
dry,0.18,0.053125000000000006,0.0005,-25.66464234720821
dry,0.18,0.053125000000000006,0.00056875,-25.79265576682622
dry,0.18,0.053125000000000006,0.0006375,-25.92022398917928
dry,0.18,0.053125000000000006,0.00070625,-26.04734933265585
dry,0.18,0.053125000000000006,0.000775,-26.174034099574772
dry,0.18,0.053125000000000006,0.00084375,-26.300280576324322
dry,0.18,0.053125000000000006,0.0009124999999999999,-26.426091033499638
dry,0.18,0.053125000000000006,0.00098125,-26.55146772603894
dry,0.18,0.053125000000000006,0.00105,-26.676412893358215
dry,0.18,0.053125000000000006,0.00111875,-26.800928759484584
dry,0.18,0.053125000000000006,0.0011875,-26.925017533188157
dry,0.18,0.053125000000000006,0.00125625,-27.04868140811282
dry,0.18,0.053125000000000006,0.0013249999999999998,-27.171922562905323
dry,0.18,0.053125000000000006,0.00139375,-27.294743161343323
dry,0.18,0.053125000000000006,0.0014624999999999998,-27.417145352461993
dry,0.18,0.053125000000000006,0.0015312499999999998,-27.53913127067936
dry,0.18,0.053125000000000006,0.0015999999999999999,-27.660703035920353
dry,0.18,0.053125000000000006,0.0016687499999999999,-27.781862753739656
dry,0.18,0.053125000000000006,0.0017375,-27.902612515443252
dry,0.18,0.053125000000000006,0.00180625,-28.022954398208725
dry,0.18,0.053125000000000006,0.001875,-28.14289046520435
dry,0.18,0.053125000000000006,0.0019437499999999997,-28.262422765707072
dry,0.18,0.053125000000000006,0.0020124999999999995,-28.381553335219152
dry,0.18,0.053125000000000006,0.0020812499999999998,-28.500284195583795
dry,0.18,0.053125000000000006,0.00215,-28.618617355099403
dry,0.18,0.053125000000000006,0.00221875,-28.736554808632928
dry,0.18,0.053125000000000006,0.0022874999999999996,-28.854098537731893
dry,0.18,0.053125000000000006,0.00235625,-28.971250510735434
dry,0.18,0.053125000000000006,0.0024249999999999996,-29.088012682884116
dry,0.18,0.053125000000000006,0.00249375,-29.204386996428788
dry,0.18,0.053125000000000006,0.0025624999999999997,-29.320375380738128
dry,0.18,0.053125000000000006,0.00263125,-29.435979752405462
dry,0.18,0.053125000000000006,0.0026999999999999997,-29.551202015354132
dry,0.18,0.053125000000000006,0.0027687499999999995,-29.66604406094221
dry,0.18,0.053125000000000006,0.0028374999999999997,-29.780507768065867
dry,0.18,0.053125000000000006,0.0029062499999999995,-29.894595003261813
dry,0.18,0.053125000000000006,0.0029749999999999998,-30.008307620808907
dry,0.18,0.053125000000000006,0.0030437499999999996,-30.121647462828438
dry,0.18,0.053125000000000006,0.0031125,-30.234616359383754
dry,0.18,0.053125000000000006,0.0031812499999999996,-30.347216128578612
dry,0.18,0.053125000000000006,0.00325,-30.459448576654843
dry,0.18,0.053125000000000006,0.0033187499999999997,-30.571315498088907
dry,0.18,0.053125000000000006,0.0033874999999999995,-30.682818675687454
dry,0.18,0.053125000000000006,0.0034562499999999997,-30.79395988068212
dry,0.18,0.053125000000000006,0.0035249999999999995,-30.904740872823275
dry,0.18,0.053125000000000006,0.0035937499999999997,-31.015163400472915
dry,0.18,0.053125000000000006,0.0036624999999999995,-31.125229200696612
dry,0.18,0.053125000000000006,0.0037312499999999998,-31.23493999935466
dry,0.18,0.053125000000000006,0.0037999999999999996,-31.34429751119222
dry,0.18,0.053125000000000006,0.0038687499999999994,-31.453303439928693
dry,0.18,0.053125000000000006,0.0039375,-31.561959478346168
dry,0.18,0.053125000000000006,0.004006249999999999,-31.670267308377074
dry,0.18,0.053125000000000006,0.004075,-31.778228601190975
dry,0.18,0.053125000000000006,0.00414375,-31.885845017280474
dry,0.18,0.053125000000000006,0.004212499999999999,-31.99311820654645
dry,0.18,0.053125000000000006,0.0042812499999999995,-32.10004980838221
dry,0.18,0.053125000000000006,0.00435,-32.20664145175714
