state,phi_total,phi_mc_abs,delta_lambda_pct
dry,0.0575,0.00070625,-2.848009754491285
dry,0.0575,0.000775,-3.116554001800341
dry,0.0575,0.00084375,-3.38360800983089
dry,0.0575,0.0009124999999999999,-3.649184148992133
dry,0.0575,0.00098125,-3.9132946531561212
dry,0.0575,0.00105,-4.175951621536311
dry,0.0575,0.00111875,-4.437167020535319
dry,0.0575,0.0011875,-4.6969526855620645
dry,0.0575,0.00125625,-4.9553203228194995
dry,0.0575,0.0013249999999999998,-5.212281511062864
dry,0.0575,0.00139375,-5.467847703329481
dry,0.0575,0.0014624999999999998,-5.722030228640318
dry,0.0575,0.0015312499999999998,-5.974840293674118
dry,0.0575,0.0015999999999999999,-6.2262889844143565
dry,0.0575,0.0016687499999999999,-6.476387267769845
dry,0.0575,0.0017375,-6.725145993168985
dry,0.0575,0.00180625,-6.972575894128902
dry,0.0575,0.001875,-7.2186875897990515
dry,0.0575,0.0019437499999999997,-7.463491586480566
dry,0.0575,0.0020124999999999995,-7.7069982791212786
dry,0.0575,0.0020812499999999998,-7.9492179527871105
dry,0.0575,0.00215,-8.190160784109995
dry,0.0575,0.00221875,-8.429836842713389
dry,0.0575,0.0022874999999999996,-8.668256092614861
dry,0.0575,0.00235625,-8.905428393607014
dry,0.0575,0.0024249999999999996,-9.14136350261673
dry,0.0575,0.00249375,-9.376071075043049
dry,0.0575,0.0025624999999999997,-9.60956066607439
dry,0.0575,0.00263125,-9.841841731985243
dry,0.0575,0.0026999999999999997,-10.072923631412872
dry,0.0575,0.0027687499999999995,-10.302815626614075
dry,0.0575,0.0028374999999999997,-10.531526884702812
dry,0.0575,0.0029062499999999995,-10.75906647886874
dry,0.0575,0.0029749999999999998,-10.98544338957698
dry,0.0575,0.0030437499999999996,-11.210666505749643
dry,0.0575,0.0031125,-11.434744625929351
dry,0.0575,0.0031812499999999996,-11.657686459424884
dry,0.0575,0.00325,-11.879500627439729
dry,0.0575,0.0033187499999999997,-12.100195664183286
dry,0.0575,0.0033874999999999995,-12.319780017965376
dry,0.0575,0.0034562499999999997,-12.538262052274343
dry,0.0575,0.0035249999999999995,-12.755650046838923
dry,0.0575,0.0035937499999999997,-12.971952198674103
dry,0.0575,0.0036624999999999995,-13.187176623111489
dry,0.0575,0.0037312499999999998,-13.401331354814234
dry,0.0575,0.0037999999999999996,-13.614424348776867
dry,0.0575,0.0038687499999999994,-13.826463481310325
dry,0.0575,0.0039375,-14.037456551012356
dry,0.0575,0.004006249999999999,-14.247411279723714
dry,0.0575,0.004075,-14.456335313470014
dry,0.0575,0.00414375,-14.66423622339013
dry,0.0575,0.004212499999999999,-14.871121506650622
dry,0.0575,0.0042812499999999995,-15.076998587347022
dry,0.0575,0.00435,-15.281874817391811
dry,0.0575,0.004418749999999999,-15.485757477389752
dry,0.0575,0.0044875,-15.688653777500104
dry,0.0575,0.0045562499999999995,-15.890570858286779
dry,0.0575,0.004624999999999999,-16.09151579155589
dry,0.0575,0.00469375,-16.291495581181497
dry,0.0575,0.004762499999999999,-16.4905171639192
dry,0.0575,0.004831249999999999,-16.688587410208303
dry,0.0575,0.0049,-16.885713124962408
dry,0.0575,0.004968749999999999,-17.081901048348755
dry,0.0575,0.005037499999999999,-17.27715785655639
dry,0.0575,0.00510625,-17.471490162553494
dry,0.0575,0.005174999999999999,-17.664904516833996
dry,0.0575,0.00524375,-17.857407408153506
dry,0.0575,0.0053124999999999995,-18.0490052642551
dry,0.0575,0.005381249999999999,-18.239704452584593
dry,0.0575,0.00545,-18.42951128099608
dry,0.0575,0.005518749999999999,-18.618431998447324
dry,0.0575,0.005587499999999999,-18.8064727956856
dry,0.0575,0.00565625,-18.993639805923916
dry,0.0575,0.005724999999999999,-19.17993910550787
dry,0.0575,0.0057937499999999986,-19.36537671457313
dry,0.0575,0.0058625,-19.54995859769404
dry,0.0575,0.005931249999999999,-19.73369066452301
dry,0.0575,0.006,-19.916578770421268
dry,0.060000000000000005,0.0005,-2.026843257610302
dry,0.060000000000000005,0.00056875,-2.299085605184358
dry,0.060000000000000005,0.0006375,-2.5698092718299472
dry,0.060000000000000005,0.00070625,-2.8390269299508972
